componente,participante_id
1,P001
1,P002
1,P004
1,P005
1,P007
1,P013
1,P015
1,P018
1,P022
1,P025
1,P037
1,P041
1,P043
1,P044
1,P048
1,P049
1,P053
1,P056
1,P059
1,P060
1,P066
1,P071
1,P072
1,P077
1,P078
1,P081
1,P084
1,P087
1,P088
1,P091
1,P092
1,P094
1,P098
1,P099
1,P103
1,P106
1,P111
1,P116
1,P117
1,P121
1,P126
1,P131
1,P133
2,P003
3,P006
4,P008
5,P009
6,P010
7,P011
8,P012
9,P014
10,P016
11,P017
12,P019
13,P020
14,P021
15,P023
16,P024
17,P026
18,P027
19,P028
20,P029
21,P030
22,P031
23,P032
24,P033
25,P034
26,P035
27,P036
28,P038
29,P039
30,P040
31,P042
32,P045
33,P046
34,P047
35,P050
36,P051
37,P052
38,P054
39,P055
40,P057
41,P058
42,P061
43,P062
44,P063
45,P064
46,P065
47,P067
48,P068
49,P069
50,P070
51,P073
52,P074
53,P075
54,P076
55,P079
56,P080
57,P082
58,P083
59,P085
60,P086
61,P089
62,P090
63,P093
64,P095
65,P096
66,P097
67,P100
68,P101
69,P102
70,P104
71,P105
72,P107
73,P108
74,P109
75,P110
76,P112
77,P113
78,P114
79,P115
80,P118
81,P119
82,P120
83,P122
84,P123
85,P124
86,P125
87,P127
88,P128
89,P129
90,P130
91,P132
92,P134
93,P135
